#cosmological_parameters--omega_c    cosmological_parameters--omega_b    cosmological_parameters--log10as_hamana    cosmological_parameters--n_s    cosmological_parameters--h0    firecrown_two_point--source_0_delta_z    firecrown_two_point--source_1_delta_z    firecrown_two_point--source_2_delta_z    firecrown_two_point--source_3_delta_z    firecrown_two_point--mult_bias    firecrown_two_point--a_ia    firecrown_two_point--eta_eff    cosmological_parameters--sigma_8    data_vector--2pt_chi2
3.790618649477795594e-04 1.771046818022003742e-05 -3.639452669028351000e-03 -6.494916417908012550e-05 -1.560268220146611732e-04 -4.717324525103113610e-07 -2.242438380716138031e-05 3.424618839328756657e-05 9.991515907521799917e-05 4.981038240898916310e-06 4.305418997672580926e-05 -2.705957169734372653e-04 -8.585929469104467901e-04 nan
1.771046818022003404e-05 1.000840760542796946e-05 -1.572175688482989461e-04 1.443504331580325952e-06 2.134422968788731819e-06 -2.378199078605032873e-07 -1.177156221019617962e-06 1.714838221391574782e-06 5.267668551942312650e-06 -5.156006469470329146e-07 -6.974675655350445268e-07 -1.889449415879270117e-05 -6.058583051365688701e-05 nan
-3.639452669028351000e-03 -1.572175688482989461e-04 3.885338070685656620e-02 7.087510119192836798e-04 3.050736162166793521e-04 6.264842885248946541e-06 2.066719033805784192e-04 -3.822552020424842701e-04 -1.042357577762532310e-03 -1.123193174239073966e-04 -4.909307247163724073e-04 2.342412846686550178e-03 8.269534027628951470e-03 nan
-6.494916417908013905e-05 1.443504331580325952e-06 7.087510119192835713e-04 1.477428091884560647e-04 -2.009720817994568493e-05 -1.543450917336049745e-07 2.504235258504622300e-06 -8.874555743026841193e-07 -9.982376364509521388e-06 3.212855521001893320e-07 2.087284647614343731e-05 1.530267545666121207e-06 1.623374711123407358e-04 nan
-1.560268220146611732e-04 2.134422968788731819e-06 3.050736162166793521e-04 -2.009720817994568493e-05 4.934370832842411561e-04 -6.562641836582658927e-07 7.078051704036437851e-06 -6.303159192067794237e-06 -2.640915262516661214e-05 3.113488194997373330e-06 2.352609281915878675e-05 2.839230701098618709e-04 3.505611981963432824e-04 nan
-4.717324525103101963e-07 -2.378199078605032873e-07 6.264842885248946541e-06 -1.543450917336050275e-07 -6.562641836582658927e-07 1.066277152266317220e-05 9.315539722977585598e-07 -1.857491515685279282e-07 -3.428669636589979398e-08 -1.115479083094382329e-07 6.682125279401886144e-05 -1.713187539496337924e-04 1.743164868557941585e-06 nan
-2.242438380716137354e-05 -1.177156221019618173e-06 2.066719033805784463e-04 2.504235258504622724e-06 7.078051704036438698e-06 9.315539722977583481e-07 1.298293645937044736e-05 6.315085627591316622e-06 3.620277132215001885e-06 -3.194594474082442932e-07 -1.939386189082530356e-05 1.932593314494319612e-04 4.322934594875849329e-05 nan
3.424618839328755980e-05 1.714838221391574782e-06 -3.822552020424842159e-04 -8.874555743026839075e-07 -6.303159192067794237e-06 -1.857491515685278753e-07 6.315085627591317469e-06 4.112752554767750790e-05 2.750501252423202285e-05 -2.133054239877300059e-07 -2.062258541998842251e-05 -1.199217996122175909e-04 -9.069200906526330211e-05 nan
9.991515907521799917e-05 5.267668551942313497e-06 -1.042357577762532310e-03 -9.982376364509521388e-06 -2.640915262516661214e-05 -3.428669636590000574e-08 3.620277132215003579e-06 2.750501252423201946e-05 1.306076112173017655e-04 -8.029766317528874743e-07 -4.541786225875001911e-05 -1.300250548082796352e-04 -2.462715036052801998e-04 nan
4.981038240898914616e-06 -5.156006469470327028e-07 -1.123193174239073966e-04 3.212855521001893320e-07 3.113488194997373330e-06 -1.115479083094382197e-07 -3.194594474082446638e-07 -2.133054239877300059e-07 -8.029766317528875802e-07 2.739562803717219235e-05 3.036836651597399158e-06 3.396360798404045908e-05 -3.072175551169693830e-05 nan
4.305418997672582281e-05 -6.974675655350445268e-07 -4.909307247163725157e-04 2.087284647614343053e-05 2.352609281915882063e-05 6.682125279401886144e-05 -1.939386189082531033e-05 -2.062258541998843606e-05 -4.541786225875001234e-05 3.036836651597397887e-06 3.231440193976661043e-03 2.022939081417234400e-02 -4.079751983421061901e-05 nan
-2.705957169734372653e-04 -1.889449415879268762e-05 2.342412846686549744e-03 1.530267545666104267e-06 2.839230701098616541e-04 -1.713187539496337924e-04 1.932593314494319612e-04 -1.199217996122176451e-04 -1.300250548082796352e-04 3.396360798404043197e-05 2.022939081417234400e-02 3.089598757273354646e-01 7.811143254246321905e-04 nan
-8.585929469104467901e-04 -6.058583051365687346e-05 8.269534027628951470e-03 1.623374711123407358e-04 3.505611981963432824e-04 1.743164868557941585e-06 4.322934594875849329e-05 -9.069200906526331566e-05 -2.462715036052801998e-04 -3.072175551169693830e-05 -4.079751983421057835e-05 7.811143254246326242e-04 2.044867491202089112e-03 nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan
