#cosmological_parameters--omch2    cosmological_parameters--ombh2    cosmological_parameters--h0    cosmological_parameters--log10as    cosmological_parameters--n_s    firecrown_two_point--source_0_delta_z    firecrown_two_point--source_1_delta_z    firecrown_two_point--source_2_delta_z    firecrown_two_point--source_3_delta_z    firecrown_two_point--mult_bias    firecrown_two_point--a_ia    firecrown_two_point--eta_eff
2.422029533183253213e-03 2.243033102207116461e-06 1.415980464497025538e-03 -2.821440875044897711e-02 -4.352331395280733791e-04 -3.061169327791193472e-05 1.639422684671852816e-06 1.497834396925573530e-05 -2.341600788129097110e-05 -1.069080966300365558e-06 -2.971698330729033184e-03 4.603303535125499680e-04
2.243033102207116461e-06 3.543516994132848711e-06 -4.438784235878810186e-07 1.613896130402202477e-05 -1.550497542955143784e-06 3.731726916252477659e-07 -1.785426402487039913e-07 8.364369418484868911e-07 5.672209701225045664e-07 -1.210368718204350364e-07 5.238615274143023807e-05 8.351710541567912243e-05
1.415980464497025538e-03 -4.438784235878813362e-07 5.466577403214006696e-03 -7.985105655100896427e-03 -2.422806525123395008e-05 -1.162554623685741029e-05 4.513802137271297039e-07 3.753362136148131204e-05 -4.499323326648549807e-06 1.646918936127811698e-06 2.068087596830377357e-03 3.787823057459610478e-03
-2.821440875044897711e-02 1.613896130402202815e-05 -7.985105655100896427e-03 3.703596449496929788e-01 1.894935302526671618e-03 4.567598337152159460e-04 -3.671794519507120598e-05 -1.738296922762711579e-04 2.955286880973212352e-04 3.279156651756335059e-06 5.278195896386456143e-02 1.160926386186665951e-02
-4.352331395280734875e-04 -1.550497542955143572e-06 -2.422806525123389587e-05 1.894935302526671618e-03 2.710054265697427536e-03 -3.680789844090763799e-06 -2.783914151614126754e-06 3.123137204286477036e-05 6.229284568551806965e-06 4.848750076562915877e-06 -1.085538264011207468e-03 -8.047628635872181111e-04
-3.061169327791193472e-05 3.731726916252478189e-07 -1.162554623685741537e-05 4.567598337152158918e-04 -3.680789844090762952e-06 2.142603353485567292e-04 2.581139233797303392e-07 -4.922876737999248701e-06 -1.671317338104104364e-06 1.502434592645502338e-06 -9.723312556979399248e-04 1.366511243959679222e-04
1.639422684671853452e-06 -1.785426402487040972e-07 4.513802137271339390e-07 -3.671794519507124663e-05 -2.783914151614125060e-06 2.581139233797299686e-07 4.707945147320943829e-05 -3.243653744719933841e-06 3.116454787027316426e-07 -2.466690822638121997e-07 -2.316524915441559344e-04 -2.241633700990050874e-04
1.497834396925573530e-05 8.364369418484868911e-07 3.753362136148130526e-05 -1.738296922762711579e-04 3.123137204286477036e-05 -4.922876737999249548e-06 -3.243653744719934264e-06 3.728904599906984339e-04 4.863134621609270996e-06 1.406799890208385612e-06 2.638501559903838481e-04 1.889168732108974236e-03
-2.341600788129096771e-05 5.672209701225044605e-07 -4.499323326648546419e-06 2.955286880973212894e-04 6.229284568551814588e-06 -1.671317338104103729e-06 3.116454787027307956e-07 4.863134621609270996e-06 3.706977499589066811e-04 -2.472737719771357630e-07 2.881214015915096956e-05 1.867924709345787377e-04
-1.069080966300365558e-06 -1.210368718204350629e-07 1.646918936127812968e-06 3.279156651756324894e-06 4.848750076562916724e-06 1.502434592645502338e-06 -2.466690822638125702e-07 1.406799890208385188e-06 -2.472737719771352336e-07 2.538213178231562219e-05 1.283141199189771244e-04 -6.106102527809177628e-04
-2.971698330729033617e-03 5.238615274143021774e-05 2.068087596830377357e-03 5.278195896386456143e-02 -1.085538264011207035e-03 -9.723312556979399248e-04 -2.316524915441559886e-04 2.638501559903837397e-04 2.881214015915094245e-05 1.283141199189771786e-04 7.435074605828871697e+00 4.278195580345334897e-02
4.603303535125499680e-04 8.351710541567913598e-05 3.787823057459611779e-03 1.160926386186665778e-02 -8.047628635872173522e-04 1.366511243959677054e-04 -2.241633700990050603e-04 1.889168732108974453e-03 1.867924709345789816e-04 -6.106102527809175460e-04 4.278195580345336285e-02 7.447903539055678479e+00
