#cosmological_parameters--omch2    cosmological_parameters--ombh2    cosmological_parameters--h0    cosmological_parameters--log10as    cosmological_parameters--n_s    firecrown_two_point--source_0_delta_z    firecrown_two_point--source_1_delta_z    firecrown_two_point--source_2_delta_z    firecrown_two_point--source_3_delta_z    firecrown_two_point--mult_bias    firecrown_two_point--a_ia    firecrown_two_point--eta_eff
2.165757658779846571e-03 -8.500209645518984388e-07 6.039333178475886008e-04 -4.050029626509497188e-02 -4.298822517135516695e-04 1.961106429684070161e-05 -3.568972251839010483e-05 7.464454699860769658e-06 6.431345054555337231e-05 -8.085972959939715309e-06 8.756615690554333045e-03 -1.275106237910809959e-02
-8.500209645518986505e-07 3.579822563525651934e-06 -2.595165059410467865e-07 5.528069128072608817e-05 3.896279721498375439e-06 9.650508480207238073e-07 1.366990951036138339e-07 3.711528262537414967e-07 2.316569425207635809e-07 5.235347250310591009e-08 9.901162356809566553e-06 4.851953060387473554e-05
6.039333178475886008e-04 -2.595165059410466807e-07 4.721571902715279191e-03 -3.265039815453462529e-03 -1.398422914800547402e-04 -1.784941226834109993e-05 4.069438823395054752e-06 -7.879113999292541273e-05 -4.632442620042925683e-05 -6.437956864158661379e-06 -3.791810943432589922e-03 6.506423742434066376e-03
-4.050029626509497188e-02 5.528069128072607462e-05 -3.265039815453463397e-03 8.207730940144661869e-01 7.159216385359392330e-03 -4.051500164727098153e-04 8.238157206507888122e-04 -5.144697444581366672e-04 -1.506184023029106872e-03 1.652726216429796318e-04 -1.917164074958735698e-01 2.801540544109624165e-01
-4.298822517135516153e-04 3.896279721498373745e-06 -1.398422914800547402e-04 7.159216385359394065e-03 2.654065435383712746e-03 6.779498265315042904e-06 1.518619719599341047e-06 1.097632387489480321e-07 -7.151540367892856213e-06 4.846409474521883411e-06 1.200403688679367283e-03 -3.111331692091291127e-03
1.961106429684070161e-05 9.650508480207235956e-07 -1.784941226834109993e-05 -4.051500164727098153e-04 6.779498265315049681e-06 1.969266943599914791e-04 4.524001672421914246e-06 -9.280914708249176699e-06 -3.324907148611761727e-06 -8.059177779202301355e-07 2.358860377489694835e-03 -4.833261211566411246e-03
-3.568972251839010483e-05 1.366990951036138604e-07 4.069438823395053905e-06 8.238157206507885954e-04 1.518619719599344012e-06 4.524001672421914246e-06 4.312687154787872107e-05 4.537002911815211620e-06 4.471781321489506705e-06 5.550469022707286397e-07 1.330093688450032733e-04 2.436016112819352813e-04
7.464454699860766269e-06 3.711528262537414438e-07 -7.879113999292541273e-05 -5.144697444581366672e-04 1.097632387489484557e-07 -9.280914708249178393e-06 4.537002911815211620e-06 3.110444469527469066e-04 2.899696579523358380e-05 -7.740606498067574927e-07 -1.347635370510907133e-03 6.508663555494580925e-04
6.431345054555337231e-05 2.316569425207635280e-07 -4.632442620042926361e-05 -1.506184023029106872e-03 -7.151540367892856213e-06 -3.324907148611760880e-06 4.471781321489505011e-06 2.899696579523359057e-05 3.328470933846504288e-04 1.040995229513225543e-06 -7.048747522253728933e-04 -7.093187602522771622e-04
-8.085972959939715309e-06 5.235347250310589024e-08 -6.437956864158662226e-06 1.652726216429796318e-04 4.846409474521885105e-06 -8.059177779202299238e-07 5.550469022707292750e-07 -7.740606498067574927e-07 1.040995229513225755e-06 2.528457188173285046e-05 -4.028014281307122461e-05 -1.453445362475552002e-04
8.756615690554331310e-03 9.901162356809569941e-06 -3.791810943432590356e-03 -1.917164074958735698e-01 1.200403688679367717e-03 2.358860377489694835e-03 1.330093688450032733e-04 -1.347635370510907133e-03 -7.048747522253730018e-04 -4.028014281307123139e-05 3.083659619753647552e-01 -1.607093316443783115e-01
-1.275106237910810132e-02 4.851953060387474909e-05 6.506423742434065509e-03 2.801540544109624165e-01 -3.111331692091291994e-03 -4.833261211566411246e-03 2.436016112819352813e-04 6.508663555494579840e-04 -7.093187602522771622e-04 -1.453445362475552002e-04 -1.607093316443783115e-01 6.151542584752124121e+00
