#cosmological_parameters--omch2    cosmological_parameters--ombh2    cosmological_parameters--h0    cosmological_parameters--log10as    cosmological_parameters--n_s    firecrown_two_point--source_0_delta_z    firecrown_two_point--source_1_delta_z    firecrown_two_point--source_2_delta_z    firecrown_two_point--source_3_delta_z    firecrown_two_point--mult_bias    firecrown_two_point--a_ia    firecrown_two_point--eta_eff    cosmological_parameters--sigma_8    data_vector--2pt_chi2
2.462721711641465555e-03 -3.402087681620972239e-06 1.051988579622636791e-03 -3.844195343637173135e-02 -6.150379560439497633e-04 -4.169588467077713209e-05 -2.597623038998220799e-05 4.085928514803548325e-05 3.739586637826508608e-05 4.088486603781917829e-06 8.155705166308790596e-03 -2.238194681790207224e-02 -6.228812721169320679e-03 nan
-3.402087681620972239e-06 3.572306000602432529e-06 1.111132832465639555e-06 9.333411248111533496e-05 -1.663405375054731188e-06 -7.182079616146753313e-07 -1.255252445385056885e-07 -1.085983484416905249e-06 -6.847508860096242250e-07 -1.131836316778886876e-07 -2.372995670315569480e-06 -9.974210544150307126e-05 -4.075173224516364973e-07 nan
1.051988579622636791e-03 1.111132832465639555e-06 4.727370760412533991e-03 -9.443673427968079029e-03 -3.467247199792209593e-04 -3.089485557252224558e-05 1.790533122446572083e-05 1.590775849010801402e-05 -1.171936880397950339e-05 3.242769637931240277e-06 -2.758761444527203007e-03 9.965824005326423193e-03 2.054363051308012549e-03 nan
-3.844195343637173135e-02 9.333411248111530786e-05 -9.443673427968079029e-03 6.494201057134937338e-01 7.941907641586677669e-03 6.647560873551434804e-04 4.900045367907165245e-04 -9.400263763903122030e-04 -8.901038167933271461e-04 -7.059068219183954455e-05 -1.489306577395247411e-01 4.099115873858885650e-01 1.107246247356761387e-01 nan
-6.150379560439497633e-04 -1.663405375054730764e-06 -3.467247199792210135e-04 7.941907641586677669e-03 2.723206371856927779e-03 2.884491676205148286e-05 -1.525930549803311814e-05 -2.083497497709950664e-05 1.285346467392855216e-05 -8.602597651099562020e-07 8.285630256822902129e-04 2.018010592921171131e-03 1.532329408177110844e-03 nan
-4.169588467077713886e-05 -7.182079616146753313e-07 -3.089485557252223880e-05 6.647560873551434804e-04 2.884491676205148286e-05 1.914285352244629460e-04 6.234032770592489403e-06 -7.259640698268630523e-06 3.282426238466654595e-07 -5.498242318315528160e-07 2.446571830101473485e-03 -7.635475217107457954e-03 1.172259105569863411e-04 nan
-2.597623038998221476e-05 -1.255252445385058474e-07 1.790533122446572422e-05 4.900045367907166329e-04 -1.525930549803311475e-05 6.234032770592488556e-06 4.398388271856831355e-05 7.712180315555918199e-06 4.296847156825623818e-06 -8.778189144225601861e-08 -8.148016573790976434e-05 1.054755622220708003e-03 9.502662643527734346e-05 nan
4.085928514803548325e-05 -1.085983484416905460e-06 1.590775849010801741e-05 -9.400263763903117693e-04 -2.083497497709949986e-05 -7.259640698268632217e-06 7.712180315555913117e-06 3.131399560433362791e-04 2.872544685526177437e-05 7.562349500992573315e-07 -1.127251113869137764e-03 2.025073593852658518e-03 -2.132916520358259140e-04 nan
3.739586637826508608e-05 -6.847508860096241191e-07 -1.171936880397950339e-05 -8.901038167933270377e-04 1.285346467392854538e-05 3.282426238466637654e-07 4.296847156825622124e-06 2.872544685526177437e-05 3.415332259122331321e-04 8.383039355213950112e-07 -3.131081992462229663e-04 -1.716505437013788986e-03 -1.966903614172924313e-04 nan
4.088486603781919523e-06 -1.131836316778887670e-07 3.242769637931240701e-06 -7.059068219183954455e-05 -8.602597651099555667e-07 -5.498242318315528160e-07 -8.778189144225617743e-08 7.562349500992575432e-07 8.383039355213952230e-07 2.546681901301084974e-05 -1.681596977604607528e-05 -8.078208998388327331e-05 -2.261702990653577153e-05 nan
8.155705166308790596e-03 -2.372995670315574985e-06 -2.758761444527203441e-03 -1.489306577395247411e-01 8.285630256822902129e-04 2.446571830101473052e-03 -8.148016573790983210e-05 -1.127251113869137547e-03 -3.131081992462230205e-04 -1.681596977604606850e-05 2.554183125516688579e-01 -1.557292207736984402e-01 -2.731881161627975826e-02 nan
-2.238194681790207571e-02 -9.974210544150301705e-05 9.965824005326423193e-03 4.099115873858886205e-01 2.018010592921171131e-03 -7.635475217107457954e-03 1.054755622220708003e-03 2.025073593852658085e-03 -1.716505437013789419e-03 -8.078208998388324621e-05 -1.557292207736984402e-01 6.197969704692469328e+00 8.289693517231813691e-02 nan
-6.228812721169320679e-03 -4.075173224516369738e-07 2.054363051308012549e-03 1.107246247356761387e-01 1.532329408177111061e-03 1.172259105569863140e-04 9.502662643527732991e-05 -2.132916520358259140e-04 -1.966903614172924313e-04 -2.261702990653576814e-05 -2.731881161627975826e-02 8.289693517231813691e-02 2.215456228692312679e-02 nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan
